Cache_Size,ARC_hitrate,DBL_hitrate,LRU_hitrate,ARC_time,DBL_time,LRU_time
5,0.2322212988246468,0.20078356879971507,0.1444615932565594,0.79737,0.60066,0.62914
10,0.3035616763623412,0.30688590763385964,0.2707111480470141,0.5807,0.53516,0.55251
15,0.3732755550278998,0.4073370533064229,0.3872491986228185,0.54696,0.46142,0.47182
20,0.4908108749851597,0.4881752344770272,0.4806482250979461,0.45556,0.40439,0.40801
25,0.5416834856939333,0.5470260002374451,0.5475602516917962,0.40035,0.36641,0.36292
30,0.5766235308085005,0.5844710910601923,0.5681348688115874,0.3601,0.3405,0.35146
35,0.5953935652380387,0.6014365427994777,0.6002255728362816,0.34082,0.33201,0.32911
40,0.6077288377062804,0.6062685503977205,0.6062685503977205,0.3291,0.32675,0.32637
45,0.612703312359017,0.6112430250504571,0.612703312359017,0.32552,0.32624,0.32434
50,0.612703312359017,0.612703312359017,0.612703312359017,0.32375,0.32167,0.32419
